ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
5284	Bunoge-680_liquiddriponedropatatime-1	Bunoge		(liquid) drip (one drop at a time)	tɛ́gɛ̀	tɛ́gɛ̀	t ɛ́ ɡ ɛ̀			0	92	t ɛ́ ɡ ɛ̀
5285	DogulDomBendiely-680_liquiddriponedropatatime-1	DogulDomBendiely		(liquid) drip (one drop at a time)	tèné	tèné	t è n é			0	92	t è n é
5286	DogulDomKundialang-680_liquiddriponedropatatime-1	DogulDomKundialang		(liquid) drip (one drop at a time)	ténè	ténè	t é n è			0	92	t é n è
5287	DonnoSo-680_liquiddriponedropatatime-1	DonnoSo		(liquid) drip (one drop at a time)	télè\\téle	télè	t é l è			0	92	t é l è
5288	Gourou-680_liquiddriponedropatatime-1	Gourou		(liquid) drip (one drop at a time)	sómó	sómó	s ó m ó			0	93	s ó m ó
5289	JamsayDouentza-680_liquiddriponedropatatime-1	JamsayDouentza		(liquid) drip (one drop at a time)	lémlém bàɣá	lém-lém_bàɣá	l é m - l é m - b à ɣ á			0	94	l é m - l é m - b à ɣ á
5290	Mombo-680_liquiddriponedropatatime-1	Mombo		(liquid) drip (one drop at a time)	sólé	sólé	s ó l é			0	95	s ó l é
5291	Najamba-680_liquiddriponedropatatime-1	Najamba		(liquid) drip (one drop at a time)	tégí	tégí	t é ɡ í			0	92	t é ɡ í
5292	Nanga-680_liquiddriponedropatatime-1	Nanga		(liquid) drip (one drop at a time)	tégé	tégé	t é ɡ é			0	92	t é ɡ é
5293	Penange-680_liquiddriponedropatatime-1	Penange		(liquid) drip (one drop at a time)	dégé	dégé	d é ɡ é			0	92	d é ɡ é
5294	PergeTegu-680_liquiddriponedropatatime-1	PergeTegu		(liquid) drip (one drop at a time)	tégé	tégé	t é ɡ é			0	92	t é ɡ é
5295	TebulUre-680_liquiddriponedropatatime-1	TebulUre		(liquid) drip (one drop at a time)	tégé (tégétì)	tégé	t é ɡ é			0	92	t é ɡ é
