ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
10546	Nanga-3545_dividesharesth-1	Nanga		divide, share (sth)	kéríyé	kér-í-yé	k é r - í - j é			0	1 7 5 0 7 0 6 7	AXMBYBCZ	KER0I0JE	6	6.K.C 6.E.V 6.R.c 6.0.C 6.I.V 6.0.C 6.J.C 6.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	kér-í-jé	0	2290
10548	PergeTegu-3545_dividesharesth-1	PergeTegu		divide, share (sth)	gàmdá	ɡàm-dá	ɡ à m - d á			0	1 7 4 0 1 7	AXMBCZ	KAM0TA	7	7.K.C 7.A.V 7.M.c 7.0.C 7.T.C 7.A.V	2.0 1.5 1.1 1.75 1.5 0.8	ɡàm-dá	0	2291
10551	TogoKan-3545_dividesharesth-1	TogoKan		divide, share (sth)	gàmírⁿì\\gàmárⁿá	ɡàm-á-r.∼á	ɡ à m - á - r <<∼>> á			0	1 7 4 0 7 0 5 0 7	AXMBYBYBZ	KAM0A0R0A	8	8.K.C 8.A.V 8.M.c 8.0.C 8.A.V 8.0.C 8.R.V 8.0.C 8.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	ɡàm-á-r<<∼>>á	0	2291
10552	TogoKan-3545_dividesharesth-2	TogoKan		divide, share (sth)	gàmírⁿì\\gàmárⁿá	ɡàm-á-r.∼á	ɡ à m - á - r <<∼>> á			0	1 7 4 0 7 0 5 0 7	AXMBYBYBZ	KAM0A0R0A	8	8.K.C 8.A.V 8.M.c 8.0.C 8.A.V 8.0.C 8.R.V 8.0.C 8.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	ɡàm-á-r<<∼>>á	1	2291
10553	TommoSoTongoTongo-3545_dividesharesth-1	TommoSoTongoTongo		divide, share (sth)	kábílɛ́	káb-í-lɛ́	k á b - í - l ɛ́			0	1 7 1 0 7 0 5 7	AXMBYBCZ	KAP0I0LE	9	9.K.C 9.A.V 9.P.c 9.0.C 9.I.V 9.0.C 9.L.C 9.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	káb-í-lɛ́	0	2294
10555	ToroTegu-3545_dividesharesth-1	ToroTegu		divide, share (sth)	hélú\\héló	hél-ó	h é l - ó			0	3 7 5 0 7	AXMBZ	HEL0U	10	10.H.C 10.E.V 10.L.c 10.0.C 10.U.V	2.0 1.5 1.1 1.75 0.8	hél-ó	0	2295
10556	ToroTegu-3545_dividesharesth-2	ToroTegu		divide, share (sth)	hélú\\héló	hél-ó	h é l - ó			0	3 7 5 0 7	AXMBZ	HEL0U	10	10.H.C 10.E.V 10.L.c 10.0.C 10.U.V	2.0 1.5 1.1 1.75 0.8	hél-ó	1	2295
10557	YandaDom-3545_dividesharesth-1	YandaDom		divide, share (sth)	gàmbúlɛ́\\gàmbùlàlí	ɡàmb-úlɛ́	ɡ à mb - ú l ɛ́			0	1 7 4 0 7 5 7	AXMBYBZ	KAM0YLE	11	11.K.C 11.A.V 11.M.c 11.0.C 11.Y.V 11.L.C 11.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ɡàmb-úlɛ́	0	2291
10558	YandaDom-3545_dividesharesth-2	YandaDom		divide, share (sth)	gàmbúlɛ́\\gàmbùlàlí	ɡàmb-úlɛ́	ɡ à mb - ú l ɛ́			0	1 7 4 0 7 5 7	AXMBYBZ	KAM0YLE	11	11.K.C 11.A.V 11.M.c 11.0.C 11.Y.V 11.L.C 11.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ɡàmb-úlɛ́	1	2291
10559	YornoSo-3545_dividesharesth-1	YornoSo		divide, share (sth)	gàmálá\\gàmúl	ɡàm-á-lá	ɡ à m - á - l á			0	1 7 4 0 7 0 5 7	AXMBYBCZ	KAM0A0LA	12	12.K.C 12.A.V 12.M.c 12.0.C 12.A.V 12.0.C 12.L.C 12.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	ɡàm-á-lá	0	2291
10560	YornoSo-3545_dividesharesth-2	YornoSo		divide, share (sth)	gàmálá\\gàmúl	ɡàm-á-lá	ɡ à m - á - l á			0	1 7 4 0 7 0 5 7	AXMBYBCZ	KAM0A0LA	12	12.K.C 12.A.V 12.M.c 12.0.C 12.A.V 12.0.C 12.L.C 12.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	ɡàm-á-lá	1	2291
15867	BankanTey-3576_doforgingdoablacksmithswork-1	BankanTey		do forging, do a blacksmith's work	dùwá	dùw-á	d ù w - á			0	1 7 6 0 7	AXMBZ	TYW0A	1	1.T.C 1.Y.V 1.W.c 1.0.C 1.A.V	2.0 1.5 1.1 1.75 0.8	dùw-á	0	2309
