ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Grouped_Segments,Grouped_Plural_Segments,Plural_Segments,Plural_Form,Dialect
TomoKanSegue-2822_cat-1,,TomoKanSegue,2822_cat,dóndó,dóndó,d ó ⁿd ó,,heathdogon,,,,,d ó ⁿd ó,,,,
ToroTegu-2822_cat-1,,ToroTegu,2822_cat,nìwⁿá,nìwⁿá,n ì w ə ∼ á,,heathdogon,,,,,n ì w.ə ∼ á,,,,
YandaDom-2822_cat-1,,YandaDom,2822_cat,gà:ⁿ\\mù,gà:ⁿ,ɡ ã̀ː,,heathdogon,,,,,ɡ ã̀ː,ɡ ã̀ː + m ù,ɡ ã̀ː + m ù,gà:ⁿ-mù,
YornoSo-2822_cat-1,,YornoSo,2822_cat,gámà,gámà,ɡ á m à,,heathdogon,,,,,ɡ á m à,,,,
BankanTey-2762_calf-1,,BankanTey,2762_calf,nà:yîm\\nà:yî:,nà:_yî-m,n àː + j î + m,,heathdogon,,,,,n àː + j î + m,n àː + j îː,n àː + j îː,nà:_yî:,
BenTey-2762_calf-1,,BenTey,2762_calf,nà: yǐm,nà:_yǐ-m,n àː + j ǐ + m,,heathdogon,,,,,n àː + j ǐ + m,n àː + j ǐ,n àː + j ǐ,nà:_yǐ,
Bunoge-2762_calf-1,,Bunoge,2762_calf,ná:bè,ná:_bè,n áː + b è,,heathdogon,,,,,n áː + b è,n áː + b éː ɡ è,n áː + b éː ɡ è,ná:_bé:=gè,
DogulDomBendiely-2762_calf-1,,DogulDomBendiely,2762_calf,nààgù égù,nàà-gù_é-gù,n à à + ɡ ù + é + ɡ ù,,heathdogon,,,,,n à.à + ɡ ù + é + ɡ ù,n à.à + ɡ ù + é + ɡ ù j à,n à à + ɡ ù + é + ɡ ù j à,nàà-gù_é-gù=yà,
DonnoSo-2762_calf-1,,DonnoSo,2762_calf,nàŋàî:,nàŋà_î:,n à ŋ à + îː,,heathdogon,,,,,n à ŋ à + îː,n à ŋ à + îː ⁿb e,n à ŋ à + îː ⁿb e,nàŋà_î:=mbe,
JamsayDouentza-2762_calf-1,,JamsayDouentza,2762_calf,nàŋî:ⁿ,nàŋ_î:ⁿ,n à ŋ + îː ∼,,heathdogon,,,,,n à ŋ + îː ∼,n à ŋ + îː ∼ + u m,n à ŋ + îː ∼ + u m,nàŋ_î:ⁿ-um,
Mombo-2762_calf-1,,Mombo,2762_calf,nà: wé:,nà:_wé:,n àː + w éː,,heathdogon,,,,,n àː + w éː,,,,
Najamba-2762_calf-1,,Najamba,2762_calf,nà:mbî:\\nà:mbû:,nà:-mbî:,n àː + ⁿb îː,,heathdogon,,,,,n àː + ⁿb îː,n àː + ⁿb ûː,n àː + ⁿb ûː,nà:-mbû:,
Nanga-2762_calf-1,,Nanga,2762_calf,nàŋà yî:,nàŋà_yî:,n à ŋ à + j îː,,heathdogon,,,,,n à ŋ à + j îː,n à ŋ à + j ì + t ɛ̀ ɡ ɛ̂,n à ŋ à + j ì + t ɛ̀ ɡ ɛ̂,nàŋà_yì-tɛ̀gɛ̂,
Penange-2762_calf-1,,Penange,2762_calf,nà: wê:,nà:_wê:,n àː + w êː,,heathdogon,,,,,n àː + w êː,n àː + w êː ɡ é,n àː + w êː ɡ é,nà:_wê:=gé,
PergeTegu-2762_calf-1,,PergeTegu,2762_calf,nàŋî:ⁿ,nàŋ_î:ⁿ,n à ŋ + îː ∼,,heathdogon,,,,,n à ŋ + îː ∼,,,,
TebulUre-2762_calf-1,,TebulUre,2762_calf,nà: ɛ̀dɛ́,nà:_ɛ̀dɛ́,n àː + ɛ̀ d ɛ́,,heathdogon,,,,,n àː + ɛ̀ d ɛ́,n àː + ù l éː,n àː + ù l éː,nà:_ùlé:,
TogoKan-2762_calf-1,,TogoKan,2762_calf,nàŋí:ⁿ,nàŋ_í:ⁿ,n à ŋ + íː ∼,,heathdogon,,,,,n à ŋ + íː ∼,n à ŋ + íː ∼ b è,n à ŋ + íː ∼ b è,nàŋ_í:ⁿ=bè,
